fil,recwgt,status,ID,pbad,w_var01,w_var02,w_var03,w_var04,w_var05,w_var06,w_var07,w_var08,w_var09,w_var10,w_var11,w_var12,w_var13,w_var14,status_log
B,1,G,1,0.2408,-0.491,-0.164,0.21,-0.804,-0.804,1.884,0.713,1.015,-0.081,-0.328,0.519,0.073,0.156,-0.027,G
B,1,G,2,0.2408,-0.743,-0.228,0.21,-0.804,-0.804,-0.935,-1.084,-0.942,-0.081,-0.328,0.198,0.073,1.455,-0.027,G
B,1,G,3,0.2408,-0.413,0.125,0.106,0.513,0.513,1.002,1.55,1.015,-0.081,-0.328,0.198,0.073,0.156,-0.027,G
B,1,G,4,0.2408,-0.732,0.125,0.186,1.766,1.637,-0.935,1.55,-0.942,0.807,-0.328,0.198,0.073,0.156,-0.027,G
B,1,G,5,0.2408,0.985,0.125,-0.045,-0.804,-0.804,-0.935,-0.944,-1.049,0.807,0.948,0.198,0.073,0.156,-0.131,G
B,1,G,6,0.2408,-0.413,0.125,0.135,-1.375,-1.648,-0.935,-1.084,-1.049,-0.081,0.948,0.198,0.073,0.156,-0.027,G
B,1,G,7,0.2408,-0.743,0.125,-0.094,1.727,1.653,1.263,1.986,1.015,0.807,0.948,0.198,0.073,1.455,0.77,G
B,1,B,8,0.2408,-0.732,-0.228,-0.051,0.513,0.513,-0.935,-1.084,-0.942,-0.081,-0.328,0.198,0.073,-0.556,-0.027,B
B,1,B,9,0.2408,0.133,0.125,0.055,-1.375,-1.648,1.884,-0.944,1.015,-0.081,0.948,-2.196,0.073,-0.948,-0.027,B
B,1,B,10,0.2408,-0.531,0.125,-0.094,-0.804,-0.804,-0.935,-1.084,-0.942,-0.081,-0.328,-2.196,0.073,0.156,-0.027,B
B,1,B,11,0.2408,-0.413,0.125,0.135,0.3,0.3,-0.935,-1.084,-0.942,0.807,-0.328,0.198,0.073,-0.772,-0.027,B
B,1,B,12,0.2408,0.352,-0.164,-0.151,-0.804,-0.804,-0.935,-0.944,-0.942,-0.133,-0.328,0.198,0.073,0.156,-0.747,B
B,1,G,13,0.2408,2.074,0.125,-0.081,-0.804,-0.804,1.884,0.713,3.157,-0.081,0.948,0.198,0.073,0.92,-0.027,G
B,1,G,14,0.2408,0.133,0.125,-0.051,-0.042,-0.042,1.884,-0.15,1.015,0.807,-0.328,0.198,0.073,-0.948,-0.027,G
B,1,B,15,0.2408,-0.491,0.125,-0.081,-0.109,-0.109,-0.935,0.079,-0.942,-0.133,-0.328,0.198,0.073,0.156,-0.054,B
B,1,G,16,0.2408,-0.108,0.125,0.186,1.558,1.653,-0.935,0.235,-0.942,0.873,-0.328,0.198,0.073,-0.556,1.755,G
B,1,G,17,0.2408,2.074,-0.228,-0.027,0.513,0.513,1.884,0.882,3.157,-0.081,-0.328,0.198,0.073,0.92,-0.027,G
B,1,G,18,0.2408,0.133,0.125,-0.075,0.513,0.513,1.884,0.797,1.545,-0.081,-0.328,0.198,0.073,0.156,-0.027,G
B,1,G,19,0.2408,-0.413,0.125,0.055,1.766,1.637,-0.935,-0.15,-0.942,-0.081,-0.328,0.198,0.073,-0.948,-0.027,G
B,1,B,20,0.2408,-0.531,-0.228,0.135,-1.375,-1.648,1.002,-1.084,1.545,-0.081,0.948,0.198,0.073,-0.556,-0.027,B
B,1,B,21,0.2408,-0.491,0.125,-0.075,-2.196,-1.648,-0.935,-0.944,-0.942,-0.081,-0.328,0.198,0.073,-0.772,-0.027,B
B,1,G,22,0.2408,-0.732,0.125,-0.045,0.513,0.513,1.521,1.986,1.545,0.807,0.948,0.198,0.073,1.532,-0.027,G
B,1,G,23,0.2408,-0.108,-0.686,0.21,1.727,1.653,-0.935,0.882,-0.942,0.807,-0.328,0.198,0.073,0.156,-0.027,G
B,1,G,24,0.2408,-0.531,0.125,-0.043,1.766,1.637,-0.935,0.235,-0.942,-0.081,-0.328,0.198,-1.184,0.156,-0.027,G
B,1,G,25,0.2408,-0.489,0.125,-0.043,0.513,0.513,1.002,-0.325,1.545,-0.081,0.948,0.198,0.073,0.156,-0.027,G
B,1,B,26,0.2408,-0.489,-0.276,0.106,-0.804,-0.804,-0.935,-0.325,-0.942,-0.081,-0.328,0.198,0.073,0.156,-0.027,B
B,1,G,27,0.2408,5.722,0.125,-0.094,0.513,0.513,1.884,0.079,3.157,-0.081,-0.328,0.198,0.073,0.156,-0.027,G
B,1,B,28,0.2408,-0.732,1.003,-0.027,0.3,0.3,-0.935,1.007,-0.942,-0.133,-0.328,0.198,0.073,-0.772,0.215,B
B,1,G,29,0.2408,-0.491,0.125,0.065,0.513,0.513,1.002,-1.084,1.015,-0.081,-0.328,0.198,0.073,-0.772,-0.027,G
B,1,G,30,0.2408,-0.743,0.125,-0.075,0.513,0.513,-0.935,0.079,-0.942,-0.081,-0.328,0.198,0.073,0.156,-0.027,G
B,1,G,31,0.2408,2.074,-0.276,-0.075,-0.042,-0.042,1.884,-0.419,1.015,-0.081,-0.328,0.198,0.073,-0.855,-0.027,G
B,1,G,32,0.2408,5.722,0.125,0.135,0.3,0.3,1.884,-0.15,3.157,0.807,-0.328,0.198,0.073,-0.338,-0.027,G
B,1,G,33,0.2408,-0.711,0.125,0.065,-0.804,-0.804,1.002,-1.084,3.157,-0.081,-0.328,0.198,-1.184,0.156,-0.027,G
